City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,bathsheba,13.2167,-59.5167,77.61,78,40,16.11,BB,1672628813
314,ciudad bolivar,8.1222,-63.5497,76.55,76,100,10.49,VE,1672628813
315,ivanteyevka,55.9711,37.9208,35.26,83,82,13.6,RU,1672628813
316,haradok,55.4624,29.9816,34.23,95,100,8.81,BY,1672628814
317,burnie,-41.0667,145.9167,78.94,65,100,6.33,AU,1672628814
318,atambua,-9.1061,124.8925,78.31,83,100,9.22,ID,1672628814
319,todos santos,23.45,-110.2167,68.67,80,58,6.46,MX,1672628815
320,miandrivazo,-19.5167,45.4667,74.73,87,100,0.31,MG,1672628815
321,tocopilla,-22.092,-70.1979,68.92,75,33,5.61,CL,1672628815
322,victoria,22.2855,114.1577,70.2,69,96,11.99,HK,1672628645
323,sawakin,19.1059,37.3321,75.63,81,96,15.43,SD,1672628816
324,hami,42.8,93.45,21.72,53,89,1.9,CN,1672628816
325,camacha,33.0833,-16.3333,58.42,72,20,4.61,PT,1672628705
326,carutapera,-1.195,-46.02,75.31,94,100,5.75,BR,1672628817
327,crossville,35.949,-85.0269,54.23,91,44,1.99,US,1672628558
328,san jose,37.3394,-121.895,54.36,64,40,5.75,US,1672628281
329,arki,31.15,76.9667,49.26,76,0,0.0,IN,1672628693
330,terrace,54.5163,-128.6035,32.47,95,100,1.39,CA,1672628817
331,faanui,-16.4833,-151.75,81.18,74,32,11.25,PF,1672628818
332,belem de sao francisco,-8.7539,-38.9658,77.5,70,90,15.46,BR,1672628818
333,patacamaya,-17.2333,-67.9167,48.78,83,73,4.76,BO,1672628819
334,palmer,42.1584,-72.3287,41.32,80,100,5.75,US,1672628819
335,nagua,19.3832,-69.8474,72.41,87,3,3.02,DO,1672628819
336,aqtobe,50.2797,57.2072,30.29,100,100,13.42,KZ,1672628819
337,natal,-5.795,-35.2094,77.65,100,40,5.75,BR,1672628820
338,poya,-21.35,165.15,81.14,63,42,7.25,NC,1672628821
339,willowmore,-33.2926,23.4895,65.64,65,14,7.76,ZA,1672628821
340,kasongo-lunda,-6.4667,16.8167,68.13,99,100,1.05,CD,1672628822
341,bilma,18.6853,12.9164,53.19,38,0,8.1,NE,1672628823
342,warmbad,-28.45,18.7333,79.59,16,99,6.76,NA,1672628823
343,yabassi,4.457,9.9682,74.19,90,100,1.79,CM,1672628824
344,buchanan,5.8808,-10.0467,76.03,84,5,1.1,LR,1672628824
345,fairbanks,64.8378,-147.7164,19.6,86,0,0.0,US,1672628700
346,sao felix do xingu,-6.6447,-51.995,70.84,98,47,0.69,BR,1672628825
347,tambacounda,13.7539,-13.7586,74.44,15,62,7.54,SN,1672628825
348,bend,44.0582,-121.3153,30.67,87,20,4.61,US,1672628826
349,port augusta,-32.5,137.7667,89.1,29,0,18.3,AU,1672628826
350,bilibino,68.0546,166.4372,-36.87,100,91,1.07,RU,1672628826
351,umm lajj,25.0213,37.2685,69.1,67,0,10.85,SA,1672628827
352,hovd,48.0056,91.6419,-2.96,92,96,1.86,MN,1672628827
353,cozumel,20.5083,-86.9458,77.07,86,0,4.0,MX,1672628827
354,meadow lake,34.8014,-106.5436,51.12,70,100,27.54,US,1672628828
355,mehriz,31.5917,54.4318,27.1,59,94,1.95,IR,1672628828
356,elko,41.0002,-115.5012,26.62,77,100,13.0,US,1672628829
357,sumenep,-7.0167,113.8667,82.78,80,100,22.12,ID,1672628829
358,sao miguel do araguaia,-13.275,-50.1628,72.63,91,77,3.33,BR,1672628829
359,trincomalee,8.5711,81.2335,79.79,63,86,14.52,LK,1672628830
